City_ID,City,Country,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Current Description
254,Green River,US,41.5286,-109.4662,45.0,33,63,19.55,broken clouds
255,Kralendijk,BQ,12.15,-68.2667,79.79,83,30,21.85,scattered clouds
256,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,24,15.66,few clouds
257,Honningsvag,NO,70.9821,25.9704,42.55,65,80,14.97,broken clouds
258,Itoman,JP,26.1247,127.6694,77.4,94,100,19.57,overcast clouds
259,Basco,PH,20.4487,121.9702,81.07,82,100,20.54,overcast clouds
260,Toccoa,US,34.5773,-83.3324,90.66,44,0,0.0,clear sky
261,Bambanglipuro,ID,-7.95,110.2833,76.5,93,100,4.76,light rain
262,Ritchie,ZA,-29.038,24.6028,53.46,81,100,16.2,light rain
263,Sorland,NO,67.667,12.6934,46.26,99,100,12.93,light rain
264,Teknaf,BD,20.8624,92.3058,82.38,83,80,1.79,broken clouds
265,Port Lincoln,AU,-34.7333,135.8667,56.98,62,15,13.18,few clouds
266,Harlingen,US,26.1906,-97.6961,89.91,41,3,23.69,clear sky
267,Kaeo,NZ,-35.1,173.7833,51.33,86,52,9.78,broken clouds
268,Requena,ES,39.4883,-1.1004,68.52,42,100,9.33,overcast clouds
269,Ambon,ID,-3.6954,128.1814,77.14,88,40,3.44,scattered clouds
270,Tshikapa,CD,-6.4167,20.8,80.13,54,100,0.54,overcast clouds
271,Sinnamary,GF,5.3833,-52.95,77.43,90,95,7.45,light rain
272,Torbay,CA,47.6666,-52.7314,54.88,61,73,8.52,broken clouds
273,Tacuarembo,UY,-31.7333,-55.9833,62.17,52,1,7.81,clear sky
274,Yablonovo,RU,50.8523,37.3574,50.7,70,100,5.97,overcast clouds
275,Niteroi,BR,-22.8833,-43.1036,71.2,76,45,11.99,scattered clouds
276,Kachkanar,RU,58.7,59.4948,34.81,83,7,3.78,clear sky
277,Batemans Bay,AU,-35.7167,150.1833,57.09,83,100,4.79,overcast clouds
278,Qasigiannguit,GL,68.8193,-51.1922,37.65,75,72,2.84,broken clouds
279,Fukue,JP,32.6881,128.8419,63.07,77,100,3.56,overcast clouds
280,Virginia Beach,US,36.8529,-75.978,94.05,54,75,14.97,broken clouds
281,Lompoc,US,34.6391,-120.4579,72.79,66,0,11.5,clear sky
282,Teya,RU,60.3778,92.6267,48.49,83,41,4.85,scattered clouds
283,Tautira,PF,-17.7333,-149.15,79.3,73,10,9.62,light rain
284,Tromso,NO,69.6496,18.957,46.42,53,75,10.36,broken clouds
285,Opuwo,NA,-18.0607,13.84,61.07,26,0,6.22,clear sky
286,Vanimo,PG,-2.6741,141.3028,77.85,89,88,3.11,overcast clouds
287,Brazzaville,CG,-4.2658,15.2832,80.42,72,98,1.07,overcast clouds
288,Volodarskiy,RU,46.4013,48.5409,51.75,74,71,15.64,broken clouds
289,Cap-Haitien,HT,19.7578,-72.2042,81.1,72,93,10.07,overcast clouds
290,Champerico,GT,14.3,-91.9167,86.83,62,99,9.04,overcast clouds
291,Lepley,RU,54.3092,42.8599,38.03,76,38,3.96,scattered clouds
292,Port-Gentil,GA,-0.7193,8.7815,77.29,84,100,2.46,light rain
293,Bartica,GY,6.4,-58.6167,86.32,87,79,4.7,broken clouds
294,Hithadhoo,MV,-0.6,73.0833,83.53,72,83,8.84,broken clouds
295,Udimskiy,RU,61.1417,45.9144,32.32,83,94,5.93,overcast clouds
296,Aldine,US,29.9324,-95.3802,95.32,59,40,23.02,scattered clouds
297,Truth Or Consequences,US,33.1284,-107.2528,83.16,10,36,14.18,scattered clouds
298,Avera,US,33.194,-82.5271,90.91,33,91,13.47,overcast clouds
299,Manitouwadge,CA,49.1215,-85.8403,48.69,96,100,12.41,overcast clouds
300,Lac Du Bonnet,CA,50.2536,-96.0612,37.22,96,100,14.88,light rain
301,Axim,GH,4.8699,-2.2405,79.54,84,93,11.45,light rain
302,Ulladulla,AU,-35.35,150.4667,46.76,83,99,6.6,overcast clouds
303,Zinder,NE,13.8072,8.9881,95.63,14,72,8.12,broken clouds
304,Hambantota,LK,6.1241,81.1185,79.74,85,44,14.34,scattered clouds
305,Ketchikan,US,55.3422,-131.6461,55.87,67,0,8.05,clear sky
306,Amapa,BR,1.0,-52.0,72.19,99,100,1.36,overcast clouds
307,Pangoa,PE,-12.1167,-73.0,79.09,52,20,4.09,few clouds
308,Tungor,RU,53.3808,142.9564,32.74,90,90,7.23,overcast clouds
309,Panguna,PG,-6.3164,155.4848,67.55,97,18,1.61,few clouds
310,Ponta Delgada,PT,37.7333,-25.6667,65.12,72,20,14.97,few clouds
311,Jatiroto,ID,-7.8833,111.1167,74.14,95,100,2.46,overcast clouds
312,Acapulco,MX,16.8634,-99.8901,86.56,48,44,11.68,scattered clouds
313,Cabedelo,BR,-6.9811,-34.8339,86.67,74,49,8.12,scattered clouds
314,Victor Harbor,AU,-35.5667,138.6167,46.99,86,99,7.0,overcast clouds
315,Adre,TD,13.4667,22.2,90.52,11,2,9.78,clear sky
316,Port Blair,IN,11.6667,92.75,82.44,89,100,11.5,mist
317,Tveit,NO,58.2337,8.122,59.09,47,0,9.22,clear sky
318,Hamilton,US,39.1834,-84.5333,87.26,55,85,4.0,overcast clouds
319,Ndele,CF,8.4109,20.6473,74.57,88,92,3.85,light rain
320,Boende,CD,-0.2167,20.8667,71.01,99,100,1.83,overcast clouds
321,Nador,MA,35.174,-2.9287,70.05,88,100,5.75,overcast clouds
322,Alakurtti,RU,66.9672,30.3491,42.89,63,100,7.11,overcast clouds
323,Howell,US,42.6073,-83.9294,82.71,72,75,16.11,broken clouds
324,Talnakh,RU,69.4865,88.3972,42.21,78,100,7.02,light rain
325,Caucaia,BR,-3.7361,-38.6531,84.15,75,40,10.36,scattered clouds
326,Hayden,US,47.766,-116.7866,54.21,61,0,9.22,clear sky
327,Cruzilia,BR,-21.8386,-44.8083,63.14,43,0,1.39,clear sky
328,Neiafu,TO,-18.65,-173.9833,79.16,80,69,13.8,light rain
329,Novo Cruzeiro,BR,-17.4681,-41.8753,76.24,20,10,2.08,clear sky
330,Emerald,AU,-23.5333,148.1667,60.94,100,100,12.66,overcast clouds
331,Darhan,MN,49.4867,105.9228,65.46,43,38,2.73,scattered clouds
332,Parainen,FI,60.3067,22.301,56.35,55,98,11.41,overcast clouds
333,El Tigre,VE,8.8875,-64.2454,93.43,31,2,11.65,clear sky
334,Pierre,US,44.3683,-100.351,52.29,61,100,23.02,overcast clouds
335,Atar,MR,20.5169,-13.0499,102.76,11,93,10.98,overcast clouds
336,Lasa,IT,46.6166,10.7002,70.36,77,72,5.48,broken clouds
337,Narsaq,GL,60.9167,-46.05,52.02,59,22,6.2,few clouds
338,Morehead,US,37.2711,-87.1764,86.99,50,0,20.71,clear sky
339,Shache,CN,38.4167,77.2406,73.08,33,100,17.52,overcast clouds
340,Nizhniy Baskunchak,RU,48.2198,46.8311,51.49,81,92,12.15,overcast clouds
341,Olinda,BR,-8.0089,-34.8553,83.93,74,75,9.22,broken clouds
342,Bridgetown,BB,13.1,-59.6167,80.98,71,61,15.64,broken clouds
343,Tevriz,RU,57.509,72.4042,44.94,67,9,7.74,clear sky
