City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Andenes,NO,2022-05-14 19:55:29,69.3143,16.1194,42.78,81,75,6.91
276,San Patricio,US,2022-05-14 19:55:30,28.017,-97.5169,95.16,43,2,17.81
277,Kaitangata,NZ,2022-05-14 19:55:31,-46.2817,169.8464,43.52,86,99,1.12
278,Namatanai,PG,2022-05-14 19:56:31,-3.6667,152.4333,77.9,80,19,3.98
279,Lasa,IT,2022-05-14 19:56:32,46.6166,10.7002,56.35,90,12,2.91
280,Ebeltoft,DK,2022-05-14 19:56:32,56.1944,10.6821,51.82,71,7,12.66
281,Altamira,BR,2022-05-14 19:56:33,-3.2033,-52.2064,87.89,70,40,4.61
282,Klaksvik,FO,2022-05-14 19:56:34,62.2266,-6.589,47.32,87,87,2.35
283,Bonthe,SL,2022-05-14 19:56:34,7.5264,-12.505,79.16,84,43,4.7
284,Faanui,PF,2022-05-14 19:56:35,-16.4833,-151.75,81.21,64,0,14.65
285,Joshimath,IN,2022-05-14 19:56:35,30.5667,79.5667,64.38,58,19,6.06
286,Mont-De-Marsan,FR,2022-05-14 19:56:36,44.0,-0.6667,65.28,88,100,9.22
287,Bikin,RU,2022-05-14 19:56:36,46.8161,134.26,43.21,75,53,4.52
288,Porosozero,RU,2022-05-14 19:56:37,62.7191,32.727,42.53,94,100,3.38
289,Versalles,FR,2022-05-14 19:56:37,48.8,2.1333,69.46,52,0,6.91
290,Bethel,US,2022-05-14 19:56:38,41.3712,-73.414,81.18,72,100,1.99
291,Veselynove,UA,2022-05-14 19:56:39,47.3567,31.2349,57.33,76,9,10.22
292,Praia Da Vitoria,PT,2022-05-14 19:56:39,38.7333,-27.0667,64.65,82,40,23.2
293,Domoni,KM,2022-05-14 19:56:40,-12.2569,44.5319,78.01,81,0,5.73
294,Kumo,NG,2022-05-14 19:56:41,10.0447,11.2122,89.83,34,59,4.83
